"V1","V2","V3","V4","V5","V6","V7","V8","V9"
745.451686055806,1415.70437158797,163.554839524584,308.85355292206,537.745372025848,898.712294729016,747.149102259144,591.448674842498,789.738188149476
716.381089362922,1359.62150401637,163.43248640669,309.692408453811,528.957756269909,882.678003086982,734.103582945459,581.628774759095,788.013682135133
705.813502303317,1361.27990661461,160.678800214823,326.741906104403,531.96853624721,887.811586323554,737.911401294455,585.618191425256,790.378474324785
695.761777595164,1429.71878864158,161.46640180256,309.579019101796,530.985148689242,913.320824663823,725.283553883927,591.137274356249,771.21874478148
694.787001164484,1494.61146026795,155.493636270742,303.88990504772,528.456297231468,898.97314806051,710.946112133656,596.873023369597,770.489385507933
698.447174058678,1625.95443273817,144.568087098076,278.579997510752,524.341760110305,885.550445367127,699.920744859979,600.950558725265,787.227798767652
677.558134119661,1674.13341687488,142.734774127751,272.282188345313,519.741983262029,902.011003145511,691.996043342311,594.219651175417,763.075426768832
678.951014258324,1693.39719991187,130.452686214404,273.719154702793,512.972789284228,888.617632904668,680.115366489109,591.278708698577,763.061337669494
682.201118652413,1708.3364540855,132.08812169042,264.755867227255,511.105221864475,881.252611083702,674.39902460639,585.141255470577,766.532018821959
689.966501904176,1739.67925564441,137.860140657674,271.063872680041,513.769830494209,888.200417512833,656.83472498982,572.187701377683,754.843513311737
677.615825280573,1690.32023827386,134.990639853869,263.761940056317,507.725431521232,874.946746230146,649.772104821559,570.934908387649,775.806304061573
665.131607494934,1733.54367162556,123.519417903185,269.42825136432,512.169003112347,902.890138137242,674.22698958445,584.36369940074,801.616699754674
659.401806889512,1826.31479268321,118.028542961826,237.12017396229,502.653928422613,911.013894255054,677.848224860815,576.35363810081,777.713397031717
636.689455103802,1814.23467211572,122.509049945455,247.207237189053,504.834004412077,894.369373178442,687.559067962369,563.478830765296,794.463033676802
641.773061288342,1727.9454333787,118.950673321529,244.087997472795,499.502482004161,904.760519049953,706.548070089241,539.612645168629,794.361961849626
625.725348878898,1711.69850762078,118.668638181843,235.414813872486,494.222122839998,891.036562266996,728.49177910386,524.385822956632,794.418293629401
609.076468548325,1730.48441474692,121.29293360874,246.057630094419,499.831259617128,899.997739561319,723.593512565955,514.188482946618,838.284111201307
618.842318026573,1642.05609822487,116.587847421628,243.678296019183,496.527296114378,868.411116982294,746.490231546711,523.666150498707,851.417597298048
629.495079625724,1640.19149617109,116.759149604314,245.935515946469,497.437213121665,862.854354607722,733.9032349194,532.998406390852,845.703676103841
625.533173793502,1648.90274424585,118.842693492187,250.981829783888,501.019567324837,857.376194972351,751.431102199397,527.569058212526,856.599901263976
610.891213192396,1704.16346832165,127.590480728961,248.590736042437,505.05627464254,863.629112189711,752.17383741993,521.135904498258,851.615089528871
603.962792851898,1561.11576824885,129.58088675967,259.808245495236,504.413120292658,876.77064915498,767.725944227684,507.29504149249,864.419958924523
622.272635820612,1587.77235782445,130.319690638519,259.930399987677,505.62355282716,863.654363123821,757.686373758953,503.229703801462,865.876371784309
617.0968015606,1556.86915929431,138.937223126638,273.038243606856,510.377819751465,868.074420398823,775.439865667899,480.35112730019,868.788466517524
618.898284519727,1648.59210753786,128.819382208496,278.667391650413,514.062986439962,862.494664601137,794.767342394437,493.593205507285,870.588225899992
608.351368244265,1664.14953126798,132.200187142322,290.61306303939,519.119525246646,844.148030807487,806.057670213105,503.312586449672,874.557251034635
610.233808932517,1680.15907900879,145.024321776507,277.57759159404,520.720713233553,845.345141759346,796.490928000765,491.322906750949,869.382038590972
604.701020137584,1625.73634095536,158.44110997549,268.328192334435,521.098151663831,855.254605383498,795.936929034461,482.546697266773,864.948331186556
584.309165738973,1592.39799769269,171.185378357665,278.620737839044,529.236274936131,864.507257715349,816.063398939797,489.189034494284,874.033039564447
579.997272056847,1674.3965585215,180.570780922345,281.769124099323,534.640235717087,861.905475478216,792.696357736491,481.69131063085,890.130138977737
596.677941816898,1654.25167672342,182.322763990498,265.983422884905,536.031442488268,878.974444523208,815.54210073208,484.240321352359,887.008914911139
604.787274677402,1601.97190650241,180.898534945051,275.192606469534,536.574337440294,838.538310143925,831.05712472991,486.233968367854,906.670227686749
